"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.36802e+06,355301,1616.46,2413.41,-1814.61,-871.607,128905,1039.03,-349.236,168.973,257.297,91563,-554.724,364.293,-681.322,57352.1
1.59765e+06,623031,-595.209,1226.93,-456.936,-0.514244,6567.01,3799.94,762.999,12648.6,399.592,147294,787.151,469.761,1259.22,26759.2
1.5806e+06,345624,-2456.67,479.288,-420.816,139.744,128542,1777.68,1885.38,28971.7,-28.6938,18239.8,-224.296,-197.257,1810.84,4035.98
1.42894e+06,261672,-858.052,1397.56,-1250.1,-524.748,162374,298.294,-93.6601,987.143,964.717,72766.9,-284.749,336.453,327.972,47003
1.43131e+06,600882,-4316,6067.77,-760.67,-821.743,260950,10165.2,77504.8,14600.6,1987.7,268874,1595.28,-286.184,-329.523,26417.4
1.43133e+06,699546,-1542.13,2187.17,137.363,646.668,9304.47,24774.3,7180.18,20269.1,-1230.36,188854,1274.94,284.187,1035.61,20554.4
1.88718e+06,706692,-601.244,419.015,650.991,-172.346,31863.2,15412.2,308.558,33269.2,597.708,245458,1243.52,1005.49,8072.2,25433.3
1.50749e+06,290661,-22.34,1086.76,-157.867,-523.186,61808.1,2566.61,736.02,5131.81,-137.287,102637,403.979,175.181,3318.01,50168.9
1.44407e+06,274817,-919.009,2492.43,12937.3,9166.33,60172.7,263.336,-441.823,12120.1,439.97,4636.19,-1830.58,93.0338,474.762,27349.4
1.70348e+06,646723,-2468.76,1109.23,11260.3,10311.8,69854.9,2312.22,-40.8934,17605.6,-853.498,37583.6,-2214.78,749.743,632.089,69677.1
1.75971e+06,509824,-1265.96,6830.33,-1355.11,615.965,13775.7,1993.42,-638.113,28310,-688.996,148906,1883.87,911.608,11267.7,11036.7
1.67556e+06,343665,266.646,310.637,658.425,6216.73,35296.1,762.404,-39.8738,121.438,1010.28,14490.5,-557.877,229.85,-50.6157,30188.8
1.6401e+06,277468,-1767.91,213.098,6178.79,-2643.46,552679,2238.83,293.527,858.084,1.30542,73740.5,2942.19,403.164,946.429,9318.49
1.3863e+06,452513,-3592.94,3283.54,341.301,-629.077,45562.8,5825.45,-399.36,20666.5,6871.72,94903.3,6582.68,-522.237,6828.77,3613.68
1.40659e+06,549888,-3030.05,2484.93,989.602,-376.853,18865.8,3005.71,6092.6,41905,347.36,127824,1130.8,-745.149,17643.1,4739.61
1.36435e+06,340437,-678.067,216.555,1898.24,13498.2,110913,509.207,615.194,484.791,36.9274,19063.2,684.648,285.423,-574.332,34605.6
1.69291e+06,553256,-3163.08,1126.42,1117.89,-344.757,677036,5696.73,-443.521,30554.5,-422.97,84505.5,6462.55,-122.936,2706.08,6944.47
1.5806e+06,387747,-2131.5,2797.11,608.978,-293.317,628.35,1079.99,-137.395,16191.7,-207.424,49865.9,-1509.8,-418.985,1365.16,13800
1.55072e+06,374376,-2276.65,6097.28,5.30652,433.896,31613.5,5059.97,-640.267,49997.7,830.068,130191,-293.425,-905.414,769.562,14463.2
1.7557e+06,650698,-246.31,1470.89,2663.11,6333.21,1160.57,83239.4,-549.746,30172.2,976,110050,-1767.94,415.384,3800.31,7440.07
1.40043e+06,569232,-266.496,3415.47,-76.4659,547.135,8572.91,839.642,854.868,28923.4,-384.251,79364.2,5398.8,53.123,2388.93,11845.9
1.56807e+06,428542,-216.915,-83.8595,-804.419,-35.1526,32013,201.935,-246.972,39823.5,992.923,89518.1,10819.4,-322.285,3145.04,2823.81
1.53071e+06,439045,-988.951,-631.727,-610.224,606.33,103757,2037.91,947.145,28076,288.896,101541,3714.32,508.627,18382.9,3348.5
1.64758e+06,873426,-2214.99,7337.8,124.986,-414.827,55037.2,1481.62,1613.94,38650.2,16356,180989,2224.12,-184.886,4634.43,6190.38
1.74781e+06,416183,1878.08,-417.901,-879.695,10124.8,327628,2198.3,-393.138,3627.4,-1374.76,31174.5,-386.043,606.769,1244.26,64861.2
1.47851e+06,360003,-2469.5,4766.1,5646.04,10365.8,106512,578.833,-122.761,-802.375,514.777,29600.3,-4346.29,-514.759,8903.26,65657.1
1.63086e+06,607574,-646.109,839.096,602.081,-42.8591,63512.5,6888.16,816.643,35657,-531.625,140804,4047.69,115.645,1227.23,28410.3
1.61595e+06,490586,-2381.05,996.688,1355.81,7306.47,404157,1241.89,-173.337,2435.74,316.609,-7.91275,-935.122,-104.133,2387.95,51470.9
1.30586e+06,381137,-1232.98,801.177,205.779,286.36,29651.5,3636.71,-1306.01,9580.7,183.558,237979,3978.73,183.793,3047.25,2725.14
1.44548e+06,274288,-2368.05,800.789,-13.521,4745.35,259554,2489.02,129.322,9677.23,506.662,51051.9,-1718.24,8.82744,3116.83,36791.4
1.56657e+06,327733,-1485.85,675.528,395.991,-189.311,8640.08,900.679,3035.15,16563.4,-606.071,76441.1,7468.24,-188.43,3276.32,4322.84
1.5514e+06,580909,-3938.56,2582.19,-632.52,-1083.98,108907,222.49,-120.869,17694.5,456.072,168298,-322.059,94.7197,1945.98,78377
1.61577e+06,413674,-1341.87,133.746,-536.651,-746.848,101451,3234.8,-185.279,33973.8,3279.79,192075,4086.38,179.451,19168.2,4356.45
1.60849e+06,337382,-713.942,1141,-549.546,-269.941,21812.9,1960.54,290.04,47132,363.375,89132,5985.81,-150.681,2829.63,5205.66
1.4738e+06,281150,-959.224,1114.95,576.838,8.43256,56734.3,1361.24,-772.042,13846.6,325.1,94955.4,500.961,47.3833,4488.46,50701.7
1.38468e+06,494059,-765.333,2157.21,12463.2,12659.4,147205,2061.35,-196.712,845.26,-214.322,12880.7,-205.32,443.924,5356.5,30449.2
1.20972e+06,251052,584.914,231.821,3113.03,-544.285,95271.1,1042.27,167.902,2640.07,-252.178,93205.3,2312.06,541.757,1617.5,27486.2
1.38733e+06,466212,-824.096,4176.22,-699.708,-301.157,22507.1,1522.14,-459.735,22805.4,543.301,150969,2379.13,-139.168,1813.03,3824.17
1.82458e+06,345184,-3148.23,2461.7,1279.6,-251.122,7253.68,24083.1,-1210.29,31642.9,284.757,137540,927.919,70.733,14364.1,29998.2
1.82028e+06,262303,-3041.12,-118.811,3394.66,10092.7,274688,5939.28,-158.731,11390.7,1110.15,9074.37,-509.935,44.6437,2122.03,64092.9
1.89731e+06,471752,-1005.14,3045.27,3297.68,-1093.12,203438,2941.81,181.409,9134.34,1645.04,137723,777.688,787.683,-298.049,25632.7
1.37964e+06,520704,-2045.5,1296.38,522.622,327.304,36996.8,294.831,-343.547,3470.41,4422.98,154986,7921.94,353.523,3669.82,3454.05
1.26382e+06,384807,-3029.99,3718.86,-233.765,240.931,412376,940.036,389.235,13619.7,-555.696,107757,-728.923,-219.46,3240.01,20956.4
1.72742e+06,326042,-2047.92,566.557,-231.308,5615.43,30308.3,-1215.66,-117.608,9372.3,-205.253,10135.1,-0.284546,183.113,1651.03,74001.6
1.50587e+06,355643,-836.562,-328.794,468.159,-27.8059,10434.9,3493.39,-579.234,28194.3,-273.798,45871.3,7567.56,-2.02482,3412.46,3205.19
1.30142e+06,429155,-1072.95,1872.18,1900.83,7082.82,100763,1444.62,-17.975,10175.2,251.518,13514.1,404.242,-349.943,782.056,48648.2
1.21284e+06,228221,-1684.34,1802.05,666.809,-347.685,81048.3,-390.462,534.349,-267.749,1073.79,53098,-1288.4,10.7634,-552.717,59731.6
1.79152e+06,373985,-1939.34,3845.55,2291.5,10889.6,58873.5,345.112,232.973,8629.81,358.844,64427,-3936.28,273.461,664.242,85710.7
1.50265e+06,338605,-494.358,581.741,-1335.15,-1090.68,157394,3.10231,2641.45,671.433,-216.647,7423.88,2420.5,336.533,269.949,45158.9
1.72153e+06,442623,-1901.01,4551.07,798.478,-1047.89,34520.5,2663.3,-373.658,51638.1,-109.222,143717,5240.21,-569.964,4523.36,12862.7
1.64436e+06,507886,232.287,548.228,6723.54,7965.54,48750.5,-113.167,142.575,-121.235,-254.526,13496.7,-1411.9,483.415,389.92,42355.7
1.29383e+06,286765,-2374.78,2295.18,264.873,-339.969,29060,544.499,244.316,3553.24,463.251,66184.2,-703.118,-60.1618,3481.2,10512.8
1.31e+06,479284,-5060.55,3436.27,267.198,688.747,500989,31.9608,248.346,14591.6,163.099,40935.1,-433.189,204.485,3569.34,92116.5
1.28827e+06,378187,-741.192,4368.2,-475.593,-1032.66,277941,1270.34,18.2546,994.809,47.9541,108899,-161.993,244.468,3702.21,39623.4
1.8166e+06,726062,1230.74,2601.66,1565.51,224.546,245295,37161.3,102264,30971.3,2088.04,266209,-1825.7,910.757,1688.36,69465.1
1.55865e+06,407276,-1968.11,1013.25,2326.09,12578.1,243886,300.001,-636.517,8162.08,109,229.665,-1164.57,541.197,2935.65,59024.7
