"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
2.04817e+06,424224,-5136.29,3434.38,1312.27,-862.334,688635,1055.4,-365.442,42194.7,7895.25,79023.5,1815.61,-147.085,2060.05,47461.7
1.68832e+06,825051,-1628.48,3549.45,-1120.13,-937.107,4635.82,20196.1,2909.26,17287.8,-24.3193,188533,-139.931,375.893,7711.18,29750.5
1.53651e+06,350247,1075.2,1112.39,784,-3342.65,461151,4074.6,1029.92,5780.09,628.395,92233.9,-699.785,452.047,-376.838,16993.7
1.32047e+06,398499,-1121.74,211.179,-1692.51,10681.7,155691,198.142,764.297,1244.1,-415.026,45168.8,258.205,409.861,-1633.47,60686.8
2.57126e+06,1.80826e+06,-39.8307,-558.285,1854.83,1156.77,1005,47846.2,113936,38289.7,66.7903,26896.2,2085.24,863.437,-844.175,25004.5
2.1025e+06,714200,2651.86,5722.27,22762.5,-170.245,4270.83,11637,244.369,417.646,3043.79,72308.7,-108.184,-51.1222,-833.75,1430.28
1.58631e+06,372019,-1138.3,3382.31,-416.327,-1130.79,241408,2528.2,52.9727,8161,260.488,136993,-1334.89,100.864,1644.78,55980.8
1.37639e+06,723659,1171.42,295.88,617.125,-1529.91,553142,6701.6,27091.7,20460.5,-283.152,108036,6497.97,906.964,340.418,14032.1
1.5376e+06,415726,-3049.15,2984.16,-1126.13,-518.529,43185.3,9464.74,45089,9853.92,1014.6,184765,1711.56,188.445,-844.348,24852.7
2.22846e+06,602260,-2248.14,1302.52,634.553,-2961.35,660396,3284.02,-36.6837,54031.1,16063.4,161257,4437.85,247.355,-284.957,8391.86
1.55425e+06,434772,-1515.95,863.903,2453.85,-3092.31,614862,367.764,1229.98,11685.7,-335.985,156847,773.543,857.204,-2138.08,53040.4
1.75326e+06,381069,-3263.81,1177.37,304.479,-753.521,503466,-174.128,-171.471,17921.6,1258.9,39430,402.299,-119.907,583.759,77152.5
1.37893e+06,454975,-1471.21,2352.67,-369.828,78.2072,16638.9,27467.6,51764.8,11424.4,-456.965,91125.2,763.32,-295.708,11798.1,3867.04
1.39564e+06,366571,-547.783,497.896,14.3729,-239.413,10775.8,-542.161,292.3,14784,7421.69,44866.5,3851.53,323.748,1816.1,3397.87
1.92493e+06,313132,61.4728,1865.43,637.43,-1473.68,148970,1542.6,513.99,2201.64,894.495,132536,69.6573,121.761,-402.967,24699.7
1.53341e+06,608183,562.088,366.611,53.3946,-148.495,8974.12,12354.2,-448.061,33999.5,-686.935,22739.8,183.256,206.468,363.972,4377.65
1.87847e+06,547330,-2796.18,528.609,25.5476,12617.3,180185,52.6598,238.07,86057.1,3650.45,-74.9793,-1381.57,-65.6109,7248,86185.8
1.59927e+06,578743,-2962.41,7210.57,-1703.55,36.9818,9515.63,4616.95,-676.173,34529.9,59335.8,278199,1429.47,-302.455,10647.4,6496.82
1.67502e+06,635625,-739.032,1095.15,-526.945,-1595.47,112942,9793.83,97915.8,32607.9,21625.1,123001,-688.334,346.474,7514.5,15325
1.57622e+06,540364,-476.964,734.31,-1094.16,-21.804,197328,1804.52,498.925,48403.7,307.227,190205,1079.63,100.088,4940.69,49803.3
1.33827e+06,470420,-1230.81,1145.01,337.35,-1779.56,177116,28760.2,189090,1305.53,-216.526,208178,1465.55,466.275,-442.297,19243.8
1.78029e+06,400897,-616.143,2866.71,273.523,-2021.73,309783,889.911,230.516,8273.44,693.525,114252,158.237,927.386,973.086,34157.6
2.44164e+06,1.31348e+06,-4279.38,9656.8,1053.21,-972.197,206322,5125.88,134741,42291.9,45425.6,560748,-222.246,761.158,13768.1,24747.5
1.38835e+06,586898,-1916.83,895.275,450.783,-2754.86,415262,5224.92,33778.9,23174.9,-116.877,34339.4,-1621.23,-47.6298,2791.43,5189.55
1.38341e+06,250527,-799.128,2112.78,2097.14,-206.956,43706.3,11969.2,590.05,1141.67,2663.11,69400.6,1540.37,-298.032,-521.906,2193.94
2.05386e+06,298929,-1272.96,2343.28,-1452.9,-1080.53,210869,1461.22,909.013,5828.37,-959.628,114024,-438.983,19.2723,808.732,38916.7
1.91481e+06,839983,-393.314,1924.65,-1167.87,-546.786,16698.8,17923.2,94557.8,34665.7,608.183,163904,813.281,116.015,1634.18,15885
1.93459e+06,282598,-458.797,3859.06,237.538,-756.443,97949.1,737.72,-807.636,8484.95,503.816,93757.8,-1580.51,27.6304,1731.58,67102.5
1.44546e+06,310569,-1056.39,1008.29,514.144,-562.372,14159.3,1276.88,1042.11,4415.82,2775.3,73602,6665.41,-54.9007,2278.16,4703.59
1.21898e+06,384417,-22.278,752.377,-232.765,-1566.16,197386,733.602,-166.128,8721.65,-721.501,106678,-167.275,560.949,-266.4,21015
