FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.11E+06,384580,-11.6749,-801.827,135.346,-3387.01,399787,-830.635,9347.06,72651.5,5436.1,9119.71,1602.86,4306.56,11.87,8541.68,2046.17,2915.42,2420.25,82.8757,1281.3,1730.43,1372.57,-400.176,1458.61
1.62E+06,333195,-864.414,-450.637,-252.009,-1181.91,3106.8,17650.9,895.675,975.446,298.731,347.696,-50.7624,1380.42,-880.692,25427.2,3188.64,3445.23,1960.44,310.622,-1287.89,7895.84,217.045,-57.4488,719.916
1.82E+06,303644,390.953,-343.383,-1094.01,-4005.18,7663.5,-390.73,342.295,132365,370.156,638.532,902.249,2889.22,-237.152,20435.9,5859.51,2291.94,3464.1,605.462,318.095,6767,-265.767,674.866,-302.452
1.41E+06,491796,-684.55,-722.192,1706.73,6524.2,4914.58,32.6214,-815,37872.1,142.532,396.811,-243.598,-341.776,429.539,32542.1,1652.69,4105.67,44076.6,261.636,-577.227,14130.9,-658.593,1857.13,2511.78
1.81E+06,473403,-1020.4,863.191,-1165.16,21255.8,10715,20176.2,450.103,-550.809,71.4894,-300.088,455.101,194.192,857.94,14340.6,605.002,3822.92,1331.87,-207.911,-1174.24,17124,-454.751,316.997,129.6
1.29E+06,438362,-197.485,-250.348,7036.64,15390.4,30371.2,1.39743,-55.444,39420.2,1066.37,71.4841,400.871,-372.06,-85.8157,10543.1,-118.424,234.845,1072.21,141.434,39.7123,19306.5,-253.225,676.699,505.876
1.31E+06,260178,622.01,850.644,-589.689,-2207.36,6127.94,24789,-61.7922,-898.839,44.3442,-483.156,116.804,624.421,-586.092,30059.5,6772.25,1419.49,1163.63,-124.145,-1611.54,30368.9,-141.532,2905.69,-1056.37
1.38E+06,399495,2196.8,85802.3,-146.283,-2367.89,407738,-2057.72,3346.11,1302.14,5480.4,2585.38,1952.24,4338.79,-2203.72,8573.1,522.382,-3010.3,32957.1,-2137.51,6538.7,754.044,5279.3,86275.7,-2397.51
1.74E+06,271414,-1288.89,-808.793,-1257.43,-1163.26,86022.8,76.9055,5355.03,66074.5,16578.7,5180.37,2792.66,8522.83,2375.06,50657.1,3102.65,825.373,56873,-298.408,-577.038,1416.67,758.69,1914.26,-397.217
1.03E+06,302463,-762.587,1405.93,845.52,-1804.7,301189,-1050.51,10726.5,58945.6,527.643,23638.7,1787.95,-273.401,-276.322,2612.28,1883.29,-6495.08,6688.4,69.7912,2075.67,-327.343,-82.4543,174.04,-233.791
1.38E+06,315135,-296.397,-352.324,-794.477,-1578.19,14231.2,22510.4,2698.82,2343.95,9777.11,3088.24,2098.48,3287.47,185.27,54564.7,15264.2,974.579,167.949,-58.3666,-1677.99,13872.5,-82.5878,344.472,-185.352
1.52E+06,606653,2689.25,90908.6,-238.451,-5092.15,453432,-874.771,599.645,1272.67,239.759,284.077,1642.32,951.091,-688.812,1730.73,2160.17,5830.78,22636.9,-2179.34,4826.68,2149.04,6645.83,84264.5,382.146
1.44E+06,326392,-1123.46,331.447,271.585,-3149.24,217532,-791.451,1672.13,30444,720.191,320.576,286.632,801.415,-67.4126,1395.45,1196.11,2648.33,13761.2,208.799,1527.05,-1637.84,338.814,2468.73,3722.19
1.63E+06,398106,-1895.54,379.653,-886.898,-4781.87,428665,9023.45,1138.54,323.932,156.594,611.75,1481.34,1513.33,-213.851,10892.2,572.919,6122.44,55849.8,-90.8213,2270.91,4484.59,-199.235,1640.33,-47.5642
1.50E+06,558204,2719.73,44711.1,61291.3,-2045.85,2750,1662.48,698.803,530.9,-322.761,-505.437,875.044,-90.9834,-971.279,1346.85,1046.88,4988.53,1731.06,-531.335,157.422,-193.958,661.161,174.385,122.663
1.42E+06,487143,2286.03,62411.7,1891.32,-3882.41,257914,843.029,120.98,707.626,672.786,447.475,1007.45,528.898,-872.719,2887.3,1572.23,3787.54,3190.81,134.197,-73.6015,50.049,1905.79,52474.7,-1065.59
