"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes"
1.52177e+06,474082,-365.982,13646.6,72523.7,-1421.33,346584,-126.85,1602.84,14851.2,71.3284,1306.58,599.37,1871.59,269.128,678.392,158.254,630.207,5369.7,3892.79,1930.17,753.878,-377.48,1975.51,16464
1.34387e+06,391491,-528.033,276.142,70769.7,-3340.22,122083,-1249.06,2898.9,30653.7,168.738,-558.553,-756.882,1097.3,-433.649,265.719,477.682,4177.17,9450.81,1935.64,901.205,-109.899,-173.982,7977.29,9236.79
2.08412e+06,432455,575.526,4848.91,1750.36,-2029.07,20546.1,192.063,18755.9,208374,-136.373,212.108,-152.911,1347.92,359.331,52325.7,3663.66,4841.92,13245.4,30.7728,-308.074,7169.69,324.654,289.829,7646.8
1.74587e+06,769142,1002.8,-254.031,21193.2,-539.592,51765.5,532.487,8086.13,-127.26,70.9966,92.4087,102.313,-12.4687,348.393,252.809,-654.354,2604.18,1725.62,-307.004,1507.28,80.8375,752.434,2426.88,4666.35
1.29505e+06,411700,468.588,225.952,50489.6,-658.657,98792.7,-193.536,17659.7,19173.8,264.603,-393.573,79.237,-120.217,291.108,21336.7,1120.61,1162.07,826.904,-374.047,-103.456,3486.69,37.4584,909.786,-673.359
1.74256e+06,451184,599.1,2662.34,-325.392,-1638.29,15170.7,3028.16,2292.75,130607,-444.57,515.038,800.993,387.433,211.959,50463.9,2791.06,4736.96,11434.4,-686.44,-909.875,-683.68,1610.05,378.77,3722.16
1.65846e+06,467024,-933.001,157.657,-153.256,-2018.71,277078,204.648,2058.6,24925.1,-348.375,4870.32,1466.64,730.776,265.314,257.674,404.618,2404.5,26762.6,-691.679,1678.84,1074.48,323.015,-39.5246,16300
1.31046e+06,606083,-767.514,330.153,29886.8,-1575.54,88653,-743.824,8402.63,21057.6,446.761,1223.17,952.235,1191.81,505.168,1032.68,-474.625,4984.5,18425.7,1517.47,6879.46,-471.724,231.67,2676.62,7423.79
1.40075e+06,479435,214.065,1476.36,-181.715,-3817.35,446007,-1537.14,843.477,66245.9,1322.74,4197.92,1544.56,1571.54,1069.75,40883.5,2667.97,8557.69,50575.1,888.554,1854.9,-158.634,-425.107,1237.39,-1237.43
2.75738e+06,1.48453e+06,557.646,89333.4,3759.77,3062.87,-850.786,11323.2,-872.887,-324.112,1175.65,4676.34,54163.7,1635.86,56736,1232.04,-502.663,8761.45,1591.44,1110.52,11243,-667.098,14041.6,631.789,897.73
