FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.73E+06,364470,-770.253,4839.78,-273.282,-3163.14,454318,-1470.65,23448.9,36869.6,284.691,17.7483,-65.6721,1085.52,677.379,17800.5,1891.34,633.845,5235.61,24.9066,1451.98,348.82,260.386,-468.949,3000.24
2.51E+06,1.12E+06,996.103,1137.29,212502,-4737.2,126909,892.82,23900.8,128333,239.554,-2663.11,-2185.81,632.079,-160.941,343.521,737.339,9631.52,21638.3,-163.351,2525.84,-374.441,677.894,13615.6,12794.7
2.74E+06,1.22E+06,916.626,76427.1,24724.6,-1294.52,825.046,133.389,862.902,348.156,313.561,387.389,25980.8,263.146,-399.552,819.171,281.201,6571.17,1551.57,786.809,7725.19,171.982,19470.8,110.38,2318.09
1.35E+06,503819,-1165.24,2719.38,-193.995,-2018.44,174392,-95.7633,7931.41,76590,-550.626,-55.9984,717.187,-231.143,725.273,35356.2,2525.98,2440.68,16896.2,22.5928,726.689,-1142.36,744.288,261.405,2492.15
1.86E+06,1.25E+06,3438.42,77490.3,58385.9,1960.59,97811.9,624.782,1191.53,1600.44,905.563,56301.3,439.366,2054.95,1008.81,1818.17,-2358.4,14366.1,-510.913,975.919,126271,3772.75,30281.4,78.7261,3031.79
1.80E+06,472874,-37.6042,187.719,-1506,7907.14,-170.133,82.6465,16074.1,-615.817,24.3628,926.36,874.513,1054.82,404.505,-538.966,488.514,16450.9,1562.56,-876.85,-744.896,29207.9,1367.89,1842.46,-33.5405
1.32E+06,394638,-556.195,1643.2,-534.927,2404.68,8455.17,-82.9997,16491.9,59425.5,-63.5612,953.319,775.197,752.528,729.592,70209.8,716.555,5123.75,8708.23,-746.424,-70.8458,7291.37,744.803,-553.166,4295.3
1.52E+06,396148,-364.616,6967.43,-156.47,-3471.19,9619.09,8436.38,18084.9,-134.466,-64.4327,609.092,532.339,149.178,1074.33,47237,1685.31,2614.89,6008.77,539.246,-230.94,3878.58,1911.66,-494.201,-204.139
1.55E+06,394770,-1382.93,-79.082,-512.21,-2162.41,149799,4526.55,505.356,16681.9,241.662,-264.015,428.467,841.694,312.285,33424,1292.93,1357.42,28012.3,236.533,67.3976,2592.81,-352.234,-103.175,403.022
1.54E+06,727528,5267.28,66423.8,2479.38,165.677,17700.6,853.455,193.002,-408.217,306.73,27192.1,691.591,10.6775,3874.16,1629.33,-1574.94,6756.86,804.942,1127.14,68506.2,813.436,3102.97,-955.872,3606.11
1.22E+06,259331,-407.695,2146.59,537.435,-1756.89,41874.8,6358.38,473.285,-365.52,-41.1079,-373.827,-27.1772,-84.1926,-527.834,27588.1,-143.955,-455.815,9476.36,-978.034,84.3815,3448.63,511.784,-418.195,215.855
2.54E+06,1.24E+06,3441.42,269584,3174.46,-684.253,5021.89,1282.83,468.236,1418.14,-43.5552,12.6941,26644.3,1850.51,677.006,838.325,-611.813,7467.83,979.961,693.128,22412.3,226.827,11634.2,319.172,1044.27
1.39E+06,481513,503.816,-1239.49,-173.577,-2898.13,325145,-1919.57,27764.3,115665,66.1298,4024.84,742.331,772.729,-382.743,67591.5,1894.28,-2648.34,36300.3,-317.623,2629.3,449.912,441.167,-813.626,-2646.51
2.02E+06,1.98E+06,293.691,159555,80000.5,12491.7,346215,-783.879,4733.81,4353.69,1219.79,2121.6,-97.8213,-405.321,-3249.96,187.274,-4027.68,4102.68,279.738,-2651.81,170686,-248.059,153525,2231.42,365.101
1.61E+06,330034,452.328,21.4644,631.676,-1584.29,31597,11855.1,3462.76,1174.71,-208.743,321.25,-585.597,11227.2,-861.589,47655.2,2606.03,1778.31,3022.9,459.998,-782.528,-826.403,-199.507,426.697,1887.65
1.36E+06,441719,-533.538,668.879,2260.6,85.7416,25673.3,-719.953,10350.6,100945,849.981,1215.87,564.604,11965,227.279,51831.4,502.892,1124.27,3309.31,269.961,410.988,1152.38,-667.979,794.962,2433.06
1.53E+06,494839,31.9523,-524.621,427.621,-4337.44,423750,743.831,1666.48,91750.3,591.39,-183.605,1785.66,-520.799,468.998,23113.2,1356.58,984.423,23225.3,-290.31,-338.795,400.218,454.375,596.102,3903.91
1.83E+06,404078,-341.627,-730.281,-28.2044,-4145.54,161828,-1860.23,5831.24,185750,576.31,-188.389,1158.09,1222.4,-26.474,34559,3301,1483.41,51749,503.055,816.862,-2132.71,-117.342,1825.56,-1593.68
2.27E+06,1.52E+06,22128.1,301948,20808.3,-6446.79,171316,-1824.19,1219.14,1773.77,109.231,1610.14,18928.8,13228.7,1369.14,2371.49,5099.24,28697,1513.91,975.565,88230.8,11251.7,75251.7,1892.23,7998.59
1.42E+06,454852,704.683,-2077,18774.3,-1823.7,15627.6,-151.856,12191.3,242861,601.569,614.662,311.703,3467.29,214.131,61232.6,507.386,2331.71,9900.34,172.913,-321.548,23555.6,516.161,926.104,1154.59
