"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
2.45363e+06,1.09233e+06,7611.45,83886.1,18623.6,100563,-6090.13,61947.6,-843.032,1056.78,863.535,-514.721,176641,11786.6,1155.57,4471.84,2203.56,-274.658,12104.3,453.266,78.8059,64271.7,1610.98,6988.47,-161.454,4528.59,2.36496
1.35349e+06,540000,-787.127,667.323,19907.9,52932.4,2124.39,10118.3,-57.2198,29482.8,9151.69,-86.9434,90.5834,-59.5777,847.158,1199.85,886.625,1304.03,3054.9,5129.18,15272.8,6825.82,407.691,744.541,8124.69,3901.15,2.37716
1.8285e+06,1.18823e+06,6009.62,8566.33,60288,49792.7,-2569.87,39557.4,-438.03,-108.034,48.9078,1095.42,1497.57,8356.62,413.41,3022.42,840.153,-187.223,6261.48,123.822,863.818,-560.992,1975.98,1667.08,318.536,3178.04,2.43448
1.41215e+06,477618,660.323,273.594,153931,52722.3,-2329.69,196519,-954.466,13419,68306.4,16.0203,-533.931,-262.443,12715.2,-232.327,214.505,1059.09,1549.97,2570.3,13945.3,5050.37,253.241,867.458,6682.51,6023.09,2.45199
1.50117e+06,784596,-383.159,2006.77,19703.6,53395.2,-4229.19,691750,-2623.75,8885.03,227523,1526.42,3748.1,2609.44,2423.26,430.278,56014.1,2684.67,4756.73,13848.6,963.665,3231.88,-68.3606,1389.42,-234.015,5849.25,2.4903
1.86173e+06,697808,1344.22,112.609,124813,35530.6,-1554.26,334227,-89.6287,15443.6,95601.2,215.409,484.913,231.877,35676.8,507.483,1292.8,320.969,3206.38,8945.36,9456.88,4478.08,874.026,1097.25,9261.14,4336.63,2.5009
1.62022e+06,1.31218e+06,-91.7324,143210,135604,79749.1,-2979.17,29030.5,487.688,1422.56,117.673,-156.201,-317.698,35790.4,257.758,4872.86,-32.6671,1744.15,1872.44,1429.22,-398.886,5546.29,4405.98,23789.9,601.359,1543.32,2.52621
1.86681e+06,2.18925e+06,2735.67,143269,171810,94731.2,-777.494,26350.1,237.37,5337.78,602.719,43.4283,784.845,69608.3,167.291,4982.17,2080.37,-1216.08,4944.72,1282.26,489.632,13620.5,1481.73,20847.1,-578.131,1734.15,2.53771
1.39849e+06,1.05401e+06,-1273.53,28523.4,8866.97,30093.6,-2575.3,549884,-1197.25,2116.57,-655.125,210.483,66347.7,-785.261,314.262,-1739.92,1404.54,502.852,3226.91,-1204.71,-528.969,141962,637.454,3278.12,-572.014,733.161,2.58072
1.59777e+06,397561,-488.932,-1555.81,123.73,77359.5,-1322.72,26349.2,10903.3,6588.18,1153.65,-3.55882,-39.2858,883.417,1645.29,73.0852,66081.2,1139.67,845.729,39134.4,-568.476,151.515,6725.44,636.837,1746.49,139.846,2.71416
2.08636e+06,835884,-1118.01,199756,17356.5,36298.1,-1359.32,61.6295,39.363,758.454,-416.975,-23.483,462.887,25741.6,-351.952,-388.391,270.198,-1015.98,3376.51,-9.0741,157.715,10994.6,-252.237,10156.2,746.794,442.51,2.73757
1.70776e+06,679896,-832.34,462.634,142715,23266.8,-924.149,61219.6,-589.544,14171.9,8861.71,81.8335,-681.379,-843.933,5569.02,-483.3,927.821,-386.768,3095.94,1184.41,8210.87,17484.6,-826.249,-624.538,-259.098,5333.95,2.75297
1.8382e+06,1.99329e+06,12861.7,90415.6,144699,104002,-1383.33,20160.2,62.1447,1030.64,-651.266,140.227,2693.54,102611,253.49,7186.58,3841.71,-1724.33,12521.8,-254.709,3380.57,7141.07,4752.05,10171.5,569.009,6461.82,2.77498
1.7504e+06,1.87784e+06,-1619.32,242122,188966,145242,2004.43,8576.86,-336.135,2472.62,-92.2139,1166.72,243.644,-812.027,4574.51,417.71,731.545,3647.92,6657.39,1311.77,-1057.5,59116.8,128.895,8835.26,5032.95,121.922,2.79808
