"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.61753e+06,253709,-1503.19,3362.29,298.848,32734.1,-2606.24,16288.6,-979.492,10955.1,29072.3,-10.6278,217.727,627.929,936.598,985.703,11906.1,1559.71,2551.61,55992.8,433.973,40.2929,-1600.02,-318.098,1759.28,-516.299,1.8901
1.66495e+06,262893,-499.042,1965.82,-282.878,53819.8,-2699.93,18657.4,-345.647,30322.6,140001,-373.972,41.3303,389.719,2141.44,1916.02,24043.8,2313.6,1567.91,9513.6,189.755,162.53,1034.76,448.791,-260.555,5527.81,1.89471
1.70525e+06,424137,-691.006,2093.97,941.828,32191.1,216.841,28453.2,-886.56,-478.337,85780.6,48.0735,-83.2686,609.926,1568.82,-183.338,12064.1,1363.47,2149.76,49550.5,-144.104,795.563,-495.596,508.567,2334.44,-987.371,1.99588
1.63269e+06,319518,-463.39,-959.093,196.377,23816.7,-1211.08,16115.5,119.188,53.6071,62784.9,-323.431,64.9958,300.413,413.923,-259.644,5703.9,337.004,1349.43,45926.3,268.4,-204.291,3886.3,839.45,2251.21,448.995,2.02002
1.22295e+06,209775,-124.487,4568.55,-505.542,72660.1,-4045.5,2292.58,6689.75,14292.1,272.669,88.1109,625.526,170.454,694.916,913.017,17699.4,1216.92,2499.67,5091.87,-2.19376,-589.934,-309.855,-200.092,-125.324,551.36,2.02723
1.43282e+06,342082,75.3322,3629.02,-188.381,58653.1,-1523.11,13407.4,-498.359,37052.2,67887.1,256.856,696.505,-67.6417,1849.07,610.146,24340.6,1039.28,1246.87,27231.1,213.096,576.097,175.562,-37.3599,998.353,-1293.98,2.072
1.44801e+06,912628,2535.26,223012,115293,40569.4,-3351.24,75013.4,-1021.71,1122.76,334.36,-111.919,-1055.63,-1280.77,1563.36,1115.44,3269.31,4445.82,4099.85,3003.79,-350.591,4829.77,1197.86,3850.7,-1394.14,4360.73,2.07992
1.3272e+06,283230,-2492.88,-1385.53,-975.798,59989.2,-1358.28,41275.8,18034.8,2757.65,1836.89,-231.859,670.309,225.102,1491.62,-675.096,61605.3,13821.5,1449.6,1266.56,-212.51,-142.536,18855.6,152.464,-1698.5,1046.89,2.08492
1.54749e+06,400843,281.268,-985.484,265.688,67276.4,-3387.8,3790.9,-722.8,22865.1,68077,-303.553,597.093,435.628,11648.8,1052.41,28846.8,1627.11,478.673,2457.14,-689.352,804.009,4299.07,1449.51,-508.3,1526.16,2.09274
1.21378e+06,275228,2765.85,2821.84,23112.6,60690.9,-1337.27,2051.83,-684.191,26824.9,51140.1,-304.988,-215.906,-645.23,3358.32,-552.232,49586.5,-572.613,730.356,4835.09,-135,181.275,379.549,654.414,661.762,966.171,2.09694
