"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.25528e+06,498694,943.946,43.6191,-162.938,23564.4,31305.4,2196.91,14957.2,-543.819,83084.4,-87.9212,1172.81,258.833,205.446,-129.018,12831.2,2435.64,4536.99,1933.04,88.0036,-402.274,13714.3,42.5222,943.924,-800.176,0.982155
1.64254e+06,402786,-160.113,287.029,-62.2753,23023.8,1318.09,47636.9,6977.59,2184.55,15149.6,274.115,610.064,221.035,338.739,366.948,13555.5,1060.1,2971.57,49250.9,842.439,-73.6509,2666.95,-119.238,-509.503,970.584,0.983658
1.4578e+06,439374,-542.736,503.199,-61.9596,25437.9,-2429.7,5049.65,19693.9,613.255,-372.592,1596.72,299.945,393.988,3725.44,-222.892,12656.5,4157.25,3349.27,963.502,360.037,-726.329,15455.8,-327.928,341.151,-224.721,1.02824
1.35998e+06,331502,-2214.95,34358.4,-319.372,7147.45,-374.478,25483.2,39.0894,1479.55,76.9811,-364.202,18.254,381.318,-27.8639,546.744,4570.3,-1277,71.5703,43947.8,-38.5848,9167.31,2616.13,-292.452,46436.2,5390.2,1.04016
1.85195e+06,453647,-179.345,468.589,-563.559,31796.7,6730.29,1175.22,19424.6,-244.693,255.456,746.054,1862.92,695.734,335.903,-80.6198,27765.1,-17.0359,4233.44,1178.92,41.8542,-77.7705,2464.85,45.1672,119.918,838.471,1.07382
1.47065e+06,393591,-3477.81,123381,-694.195,15882.4,11803.3,298624,-2174.15,1098.63,-1420.61,319.147,1088.15,2316.33,1146.84,-994.936,8125.28,1496.67,529.101,2952.38,4694.31,4286.78,3258.19,6130.05,57395.2,-1181.09,1.07783
1.64754e+06,354236,-1147.33,1804.17,-143.004,24696.7,-112.871,76562.4,263.596,2432.1,118065,1294.77,476.732,860.882,427.193,-242.161,11155.2,654.829,451.356,17749.1,410.863,-892.752,752.258,-915.166,-878.216,546.023,1.08163
1.00289e+06,378439,57.3527,1308.95,-232.044,29074.9,-2835.03,7937.44,23582.2,-360.02,-312.309,3519.18,-7.56199,59.3349,982.39,310.551,30611.8,4664.75,4180.94,5369.77,300.094,-33.1875,-526.304,1140.6,-225.283,-980.72,1.08534
1.34718e+06,298051,-383.121,-134.14,-486.782,26523,-1810.22,119706,17221.7,778.917,-152.049,3.27481,215.103,-261.101,316.761,-890.981,49080.9,22314.3,660.708,475.821,-132.45,44.2525,10961.3,-88.0884,710.472,-139.02,1.08915
1.67302e+06,535162,-413.984,1625.88,-919.12,30943.6,10883,8899.07,398.568,520.741,271994,800.681,532.456,-297.187,5.4129,588.225,13997.8,4261.01,8216.72,23744.3,-1177.23,-636.964,8319.46,987.279,1388.77,2248.72,1.09215
